X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.77635,40.32613,0,0,141,,,,,TP142,,,,,,,,,,,,,,,,,,
-3.77649,40.32611,0,0,142,,,,,TP143,,,,,,,,,,,,,,,,,,
-3.77665,40.32607,0,0,143,,,,,TP144,,,,,,,,,,,,,,,,,,
-3.77668,40.32604,0,0,144,,,,,TP145,,,,,,,,,,,,,,,,,,
-3.7767,40.32602,0,0,145,,,,,TP146,,,,,,,,,,,,,,,,,,
-3.77672,40.32601,0,0,146,,,,,TP147,,,,,,,,,,,,,,,,,,
-3.77674,40.326,0,0,147,,,,,TP148,,,,,,,,,,,,,,,,,,
-3.77675,40.326,0,0,148,,,,,TP149,,,,,,,,,,,,,,,,,,
-3.77676,40.326,0,0,149,,,,,TP150,,,,,,,,,,,,,,,,,,
-3.77677,40.32599,0,0,150,,,,,TP151,,,,,,,,,,,,,,,,,,
-3.77678,40.32599,0,0,151,,,,,TP152,,,,,,,,,,,,,,,,,,
-3.7768,40.32599,0,0,152,,,,,TP153,,,,,,,,,,,,,,,,,,
-3.77681,40.32599,0,0,153,,,,,TP154,,,,,,,,,,,,,,,,,,
-3.77682,40.32598,0,0,154,,,,,TP155,,,,,,,,,,,,,,,,,,
-3.77683,40.32598,0,0,155,,,,,TP156,,,,,,,,,,,,,,,,,,
-3.77685,40.32599,0,0,156,,,,,TP157,,,,,,,,,,,,,,,,,,
-3.77686,40.32599,0,0,157,,,,,TP158,,,,,,,,,,,,,,,,,,
-3.77687,40.32599,0,0,158,,,,,TP159,,,,,,,,,,,,,,,,,,
-3.77689,40.32599,0,0,159,,,,,TP160,,,,,,,,,,,,,,,,,,
-3.7769,40.32599,0,0,160,,,,,TP161,,,,,,,,,,,,,,,,,,
-3.77691,40.326,0,0,161,,,,,TP162,,,,,,,,,,,,,,,,,,
-3.77694,40.32601,0,0,162,,,,,TP163,,,,,,,,,,,,,,,,,,
-3.77697,40.32603,0,0,163,,,,,TP164,,,,,,,,,,,,,,,,,,
-3.77699,40.32605,0,0,164,,,,,TP165,,,,,,,,,,,,,,,,,,
-3.77723,40.32611,0,0,165,,,,,TP166,,,,,,,,,,,,,,,,,,
-3.77734,40.32612,0,0,166,,,,,TP167,,,,,,,,,,,,,,,,,,
-3.77739,40.32613,0,0,167,,,,,TP168,,,,,,,,,,,,,,,,,,
-3.77744,40.32613,0,0,168,,,,,TP169,,,,,,,,,,,,,,,,,,
-3.77745,40.32613,0,0,169,,,,,TP170,,,,,,,,,,,,,,,,,,
-3.77754,40.32613,0,0,170,,,,,TP171,,,,,,,,,,,,,,,,,,
-3.77763,40.32613,0,0,171,,,,,TP172,,,,,,,,,,,,,,,,,,
-3.77768,40.32612,0,0,172,,,,,TP173,,,,,,,,,,,,,,,,,,
-3.77773,40.3261,0,0,173,,,,,TP174,,,,,,,,,,,,,,,,,,
-3.77787,40.32602,0,0,174,,,,,TP175,,,,,,,,,,,,,,,,,,
-3.7778744,40.3260215,0,0,175,,,,,TP176,,,,,,,,,,,,,,,,,,
-3.77791,40.32598,0,0,176,,,,,TP177,,,,,,,,,,,,,,,,,,
-3.77797,40.32594,0,0,177,,,,,TP178,,,,,,,,,,,,,,,,,,
-3.77803,40.32592,0,0,178,,,,,TP179,,,,,,,,,,,,,,,,,,
-3.77811,40.32582,0,0,179,,,,,TP180,,,,,,,,,,,,,,,,,,
-3.77813,40.32579,0,0,180,,,,,TP181,,,,,,,,,,,,,,,,,,
-3.77817,40.32573,0,0,181,,,,,TP182,,,,,,,,,,,,,,,,,,
-3.77817,40.32567,0,0,182,,,,,TP183,,,,,,,,,,,,,,,,,,
-3.77817,40.32562,0,0,183,,,,,TP184,,,,,,,,,,,,,,,,,,
-3.7781654,40.3256208,0,0,184,,,,,TP185,,,,,,,,,,,,,,,,,,
-3.77825,40.32558,0,0,185,,,,,TP186,,,,,,,,,,,,,,,,,,
-3.7782492,40.3255808,0,0,186,,,,,TP187,,,,,,,,,,,,,,,,,,
-3.77858,40.32516,0,0,187,,,,,TP188,,,,,,,,,,,,,,,,,,
-3.77891,40.32476,0,0,188,,,,,TP189,,,,,,,,,,,,,,,,,,
-3.77932,40.32428,0,0,189,,,,,TP190,,,,,,,,,,,,,,,,,,
-3.77972,40.3238,0,0,190,,,,,TP191,,,,,,,,,,,,,,,,,,
-3.78006,40.3234,0,0,191,,,,,TP192,,,,,,,,,,,,,,,,,,
-3.78008,40.32338,0,0,192,,,,,TP193,,,,,,,,,,,,,,,,,,
-3.78046,40.32293,0,0,193,,,,,TP194,,,,,,,,,,,,,,,,,,
-3.78087,40.32244,0,0,194,,,,,TP195,,,,,,,,,,,,,,,,,,
-3.78118,40.32207,0,0,195,,,,,TP196,,,,,,,,,,,,,,,,,,
-3.78121,40.32204,0,0,196,,,,,TP197,,,,,,,,,,,,,,,,,,
-3.78149,40.32171,0,0,197,,,,,TP198,,,,,,,,,,,,,,,,,,
-3.7814909,40.3217109,0,0,198,,,,,TP199,,,,,,,,,,,,,,,,,,
-3.78163,40.32177,0,0,199,,,,,TP200,,,,,,,,,,,,,,,,,,
-3.7816287,40.3217733,0,0,200,,,,,TP201,,,,,,,,,,,,,,,,,,
-3.78163,40.32174,0,0,201,,,,,TP202,,,,,,,,,,,,,,,,,,
-3.78165,40.3217,0,0,202,,,,,TP203,,,,,,,,,,,,,,,,,,
-3.78167,40.32168,0,0,203,,,,,TP204,,,,,,,,,,,,,,,,,,
-3.7816742,40.3216755,0,0,204,,,,,TP205,,,,,,,,,,,,,,,,,,
-3.78175,40.32167,0,0,205,,,,,TP206,,,,,,,,,,,,,,,,,,
-3.78179,40.32168,0,0,206,,,,,TP207,,,,,,,,,,,,,,,,,,
-3.78181,40.32169,0,0,207,,,,,TP208,,,,,,,,,,,,,,,,,,
-3.78182,40.32169,0,0,208,,,,,TP209,,,,,,,,,,,,,,,,,,
-3.78188,40.32173,0,0,209,,,,,TP210,,,,,,,,,,,,,,,,,,
-3.78197,40.32177,0,0,210,,,,,TP211,,,,,,,,,,,,,,,,,,
-3.782,40.32178,0,0,211,,,,,TP212,,,,,,,,,,,,,,,,,,
-3.7819991,40.3217834,0,0,212,,,,,TP213,,,,,,,,,,,,,,,,,,
-3.78202,40.32177,0,0,213,,,,,TP214,,,,,,,,,,,,,,,,,,
-3.78203,40.32176,0,0,214,,,,,TP215,,,,,,,,,,,,,,,,,,
-3.78208,40.32172,0,0,215,,,,,TP216,,,,,,,,,,,,,,,,,,
-3.78217,40.32166,0,0,216,,,,,TP217,,,,,,,,,,,,,,,,,,
